Document_No,Dominant_Topic,media,political elite,other,public
514,3.0,0,0,0,1
515,3.0,0,0,0,1
516,4.0,0,0,0,1
517,3.0,0,0,0,1
539,2.0,0,0,0,1
751,4.0,0,0,0,1
1074,4.0,0,0,0,1
518,2.0,0,0,0,1
3245,3.0,0,0,0,1
519,3.0,0,0,0,1
520,0.0,0,0,0,1
521,3.0,0,0,0,1
3895,4.0,0,0,0,1
522,3.0,0,0,0,1
523,4.0,0,0,0,1
524,0.0,0,0,0,1
525,3.0,0,0,0,1
526,3.0,0,0,0,1
527,3.0,0,0,0,1
528,3.0,0,0,0,1
529,3.0,0,0,0,1
530,2.0,0,0,0,1
6427,2.0,0,0,0,1
12158,0.0,0,0,0,1
12601,2.0,0,0,0,1
531,3.0,0,0,0,1
532,3.0,0,0,0,1
533,3.0,0,0,0,1
2481,4.0,0,0,0,1
6037,3.0,0,0,0,1
12148,3.0,0,0,0,1
534,3.0,0,0,0,1
535,3.0,0,0,0,1
536,3.0,0,0,0,1
537,1.0,0,0,0,1
538,3.0,0,0,0,1
1743,3.0,0,0,0,1
540,3.0,0,0,0,1
541,3.0,0,0,0,1
2994,0.0,0,0,0,1
9192,3.0,0,0,0,1
542,3.0,0,0,0,1
543,3.0,0,0,0,1
544,3.0,0,0,0,1
5121,3.0,0,0,0,1
545,3.0,0,0,0,1
547,3.0,0,0,0,1
548,1.0,0,0,0,1
549,3.0,0,0,0,1
2084,0.0,0,0,0,1
7871,1.0,0,0,0,1
550,2.0,0,0,0,1
551,3.0,0,0,0,1
552,2.0,0,0,0,1
553,3.0,0,0,0,1
554,3.0,0,0,0,1
555,3.0,0,0,0,1
556,3.0,0,0,0,1
557,3.0,0,0,0,1
8980,3.0,0,0,0,1
558,3.0,0,0,0,1
559,3.0,0,0,0,1
560,4.0,0,0,0,1
561,3.0,0,0,0,1
562,3.0,0,0,0,1
563,3.0,0,0,0,1
564,3.0,0,0,0,1
565,3.0,0,0,0,1
566,3.0,0,0,0,1
6960,3.0,0,0,0,1
567,3.0,0,0,0,1
568,3.0,0,0,0,1
6444,3.0,0,0,0,1
569,3.0,0,0,0,1
570,3.0,0,0,0,1
1531,0.0,0,0,0,1
1975,4.0,0,0,0,1
6315,3.0,0,0,0,1
7037,3.0,0,0,0,1
10480,2.0,0,0,0,1
571,3.0,0,0,0,1
7630,3.0,0,0,0,1
572,3.0,0,0,0,1
573,0.0,0,0,0,1
4746,2.0,0,0,0,1
10765,1.0,0,0,0,1
12076,2.0,0,0,0,1
12487,2.0,0,0,0,1
574,3.0,0,0,0,1
575,3.0,0,0,0,1
576,3.0,0,0,0,1
577,3.0,0,0,0,1
6825,3.0,0,0,0,1
6835,3.0,0,0,0,1
6862,2.0,0,0,0,1
578,3.0,0,0,0,1
579,3.0,0,0,0,1
580,3.0,0,0,0,1
581,3.0,0,0,0,1
5001,3.0,0,0,0,1
582,3.0,0,0,0,1
6710,1.0,0,0,0,1
583,3.0,0,0,0,1
9444,3.0,0,0,0,1
584,3.0,0,0,0,1
585,3.0,0,0,0,1
586,3.0,0,0,0,1
2646,1.0,0,0,0,1
587,3.0,0,0,0,1
736,3.0,0,0,0,1
12538,2.0,0,0,0,1
588,3.0,0,0,0,1
589,3.0,0,0,0,1
11403,1.0,0,0,0,1
590,3.0,0,0,0,1
591,3.0,0,0,0,1
592,3.0,0,0,0,1
593,3.0,0,0,0,1
594,3.0,0,0,0,1
595,3.0,0,0,0,1
596,3.0,0,0,0,1
5179,2.0,0,0,0,1
597,0.0,0,0,0,1
598,3.0,0,0,0,1
7353,2.0,0,0,0,1
10012,3.0,0,0,0,1
12321,0.0,0,0,0,1
599,4.0,0,0,0,1
600,4.0,0,0,0,1
601,1.0,0,0,0,1
602,3.0,0,0,0,1
603,4.0,0,0,0,1
604,0.0,0,0,0,1
605,3.0,0,0,0,1
606,3.0,0,0,0,1
607,3.0,0,0,0,1
608,3.0,0,0,0,1
609,4.0,0,0,0,1
6110,3.0,0,0,0,1
610,3.0,0,0,0,1
7107,3.0,0,0,0,1
611,3.0,0,0,0,1
612,3.0,0,0,0,1
613,3.0,0,0,0,1
614,3.0,0,0,0,1
615,3.0,0,0,0,1
616,3.0,0,0,0,1
617,3.0,0,0,0,1
618,3.0,0,0,0,1
1805,1.0,0,0,0,1
619,3.0,0,0,0,1
5242,3.0,0,0,0,1
620,3.0,0,0,0,1
621,3.0,0,0,0,1
622,3.0,0,0,0,1
623,3.0,0,0,0,1
624,3.0,0,0,0,1
625,0.0,0,0,0,1
626,3.0,0,0,0,1
627,0.0,0,0,0,1
628,3.0,0,0,0,1
629,0.0,0,0,0,1
6912,0.0,0,0,0,1
630,3.0,0,0,0,1
631,3.0,0,0,0,1
4337,4.0,0,0,0,1
6417,3.0,0,0,0,1
632,4.0,0,0,0,1
633,0.0,0,0,0,1
1294,0.0,0,0,0,1
9229,2.0,0,0,0,1
634,3.0,0,0,0,1
6550,1.0,0,0,0,1
6566,3.0,0,0,0,1
8609,3.0,0,0,0,1
635,3.0,0,0,0,1
636,3.0,0,0,0,1
637,3.0,0,0,0,1
1272,4.0,0,0,0,1
1273,4.0,0,0,0,1
638,4.0,0,0,0,1
640,3.0,0,0,0,1
641,3.0,0,0,0,1
642,3.0,0,0,0,1
643,3.0,0,0,0,1
644,4.0,0,0,0,1
645,1.0,0,0,0,1
646,1.0,0,0,0,1
647,3.0,0,0,0,1
648,3.0,0,0,0,1
5592,3.0,0,0,0,1
649,3.0,0,0,0,1
673,3.0,0,0,0,1
650,1.0,0,0,0,1
651,3.0,0,0,0,1
2892,4.0,0,0,0,1
2937,3.0,0,0,0,1
652,1.0,0,0,0,1
653,4.0,0,0,0,1
654,0.0,0,0,0,1
655,4.0,0,0,0,1
656,3.0,0,0,0,1
2370,1.0,0,0,0,1
657,3.0,0,0,0,1
658,3.0,0,0,0,1
659,3.0,0,0,0,1
812,3.0,0,0,0,1
4061,3.0,0,0,0,1
4689,2.0,0,0,0,1
6728,3.0,0,0,0,1
660,3.0,0,0,0,1
661,0.0,0,0,0,1
662,3.0,0,0,0,1
663,3.0,0,0,0,1
4339,4.0,0,0,0,1
6424,3.0,0,0,0,1
664,3.0,0,0,0,1
